,name,id,stage,year
0,Beck,4obzFoKoKRHIphyHzJ35G3,Main Stage,1999
1,Beck,4obzFoKoKRHIphyHzJ35G3,Gobi Tent,2004
2,Beck,4obzFoKoKRHIphyHzJ35G3,Coachella Stage,2014
3,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Main Stage,1999
4,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Insomniac Tent,2001
5,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Coachella Stage,2002
6,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Sahara Tent,2005
7,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Sahara Tent,2009
8,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Coachella Stage,2011
9,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Outdoor Theatre,2023
10,The Freemen,5BS4OVdQut6e0XNcLK23Be,Main Stage,1999
11,Morrissey,3iTsJGG39nMg9YiolUgLMQ,Main Stage,1999
12,Morrissey,3iTsJGG39nMg9YiolUgLMQ,Coachella Stage,2009
13,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Main Stage,1999
14,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Sahara Tent,2008
15,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Sahara Tent,2009
16,Medeski Martin & Wood,2Hg4SUNDuIn8xIidz9GxFw,Main Stage,1999
17,Bis,0yb46jwm7gqbZXVXZQ8Z1e,Main Stage,1999
18,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,Main Stage,1999
19,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,Outdoor Theatre,2018
20,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Outdoor Theatre,1999
21,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Sahara Tent,2003
22,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Sahara Tent,2016
23,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Mojave Tent,2023
24,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Outdoor Theatre,1999
25,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Mojave Tent,2008
26,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Gobi Tent,2013
27,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Sonora Tent,2022
28,Life On Repeat,3i2HLU3icASkCVEVW7iyXP,Outdoor Theatre,1999
29,Art of Noise,77zrvBORXcnTyysjjKRfBU,Outdoor Theatre,1999
30,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Outdoor Theatre,1999
31,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Coachella Stage,2013
32,Super Furry Animals,0FOcXqJgJ1oq9XfzYTDZmZ,Outdoor Theatre,1999
33,IQU,2jgrDwQt2J04QHpTu4uHwG,Outdoor Theatre,1999
34,The Bicycle Thief,3AqcWmE3uv3PsDJUTpkHRx,Outdoor Theatre,1999
35,At the Drive In,5E2rtn57BM2WPjwak4kGd5,Outdoor Theatre,1999
36,DJ Rap,6Zt25gNJMRGE2huRS9vHde,Mojave Tent,1999
37,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Mojave Tent,1999
38,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Outdoor Theatre,2002
39,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Outdoor Theatre,2013
40,Cornelius,2GFB1Lc67mbqFXTPCM9XzT,Mojave Tent,1999
41,Cornelius,2GFB1Lc67mbqFXTPCM9XzT,Gobi Tent,2007
42,Simply Jeff,5Tug131UB4YlP9Qhe9jBif,Mojave Tent,1999
43,The Wiseguys,7oBJEgh7PQKJuxXb1lUEKA,Mojave Tent,1999
44,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Mojave Tent,1999
45,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Insomniac Tent,2001
46,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Sahara Tent,2003
47,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Sahara Tent,2009
48,Bassbin Twins,2MXpehjTt01tarmYAwi42L,Sahara Tent,1999
49,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,1999
50,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,2003
51,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,2007
52,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Yuma Tent,2013
53,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Mojave Tent,2017
54,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Yuma Tent,2022
55,Juan Atkins,208EQzx7RmoE2Ng9gF2edh,Sahara Tent,1999
56,Derrick May,0v6N0xV7AfHHKVcgUOjC51,Sahara Tent,1999
57,Kevin Saunderson,0jS6VTFGujWxinY5TSQwOG,Sahara Tent,1999
58,Lunatic Calm,4Fh6eC8hJz13eXsboxXlcX,Sahara Tent,1999
59,DJ Food,4NZM5xKuDpGc4vEHDwGO1Q,Gobi Tent,1999
60,Kid Koala,2s0438sn0pYL2OuukcFqPN,Gobi Tent,1999
61,Amon Tobin,3mvkWMe6swnknwscwvGCHO,Gobi Tent,1999
62,Amon Tobin,3mvkWMe6swnknwscwvGCHO,Gobi Tent,2003
63,Amon Tobin,3mvkWMe6swnknwscwvGCHO,Mojave Tent,2012
64,Mr. Scruff,2B0PgHZi2zaDqjKe86Gaip,Gobi Tent,1999
65,µ-Ziq,7AiamoV760pPGGM5PbOC6X,Gobi Tent,1999
66,Nightmares on Wax,4tNxq9NGKTKaX8OkZBLgf0,Gobi Tent,1999
67,Ming  & FS,06me8YDBAnzsRJ7truezEx,Gobi Tent,1999
68,Tomas,3Y4UmopFbGuRYdtGEa5jDZ,Gobi Tent,1999
69,Mike Fix,6AxANmwcOD8IEWBy3pNR32,Gobi Tent,1999
70,Tool,2yEwvVSSSUkcLeSTNyHKh8,Main Stage,1999
71,Tool,2yEwvVSSSUkcLeSTNyHKh8,Coachella Stage,2006
72,Rage Against the Machine,2d0hyoQ5ynDBnkvAbJKORj,Main Stage,1999
73,Rage Against the Machine,2d0hyoQ5ynDBnkvAbJKORj,Coachella Stage,2007
74,Ben Harper,45lorWzrKLxfKlWpV7r9CN,Main Stage,1999
75,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Main Stage,1999
76,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Coachella Stage,2010
77,Cibo Matto,2te8VJxgUxcElC8Uq6eJs6,Main Stage,1999
78,Money Mark,6I2891HPq8zEnBEuwc5iAP,Main Stage,1999
79,Moby,3OsRAKCvk37zwYcnzRf5XF,Outdoor Theatre,1999
80,Moby,3OsRAKCvk37zwYcnzRf5XF,Sahara Tent,2013
81,Esthero,1VmTG1NmumTwTIOGbew6gH,Outdoor Theatre,1999
82,Innerzone Orchestra,3WPdaViSMm79jQvFyVzNO2,Outdoor Theatre,1999
83,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Outdoor Theatre,1999
84,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Outdoor Theatre,2007
85,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Gobi Tent,2012
86,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Mojave Tent,2017
87,Spearhead,1mHuZMOP8FG5ip4yAb1vrB,Outdoor Theatre,1999
88,Rahzel,6vunRaBya0Sx6CMJZAlHTZ,Outdoor Theatre,1999
89,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,Outdoor Theatre,1999
90,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,Gobi Tent,2010
91,Ugly Duckling,7nW3rZPhwZWlGPZgdDiJea,Outdoor Theatre,1999
92,GusGus,5sL9uDMwceYHPknnCLAAwJ,Mojave Tent,1999
93,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,Mojave Tent,1999
94,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,Outdoor Theatre,2003
95,Thievery Corporation,25KNo5GDS6ZpLkjasaecA3,Coachella Stage,2009
96,Lamb,66lH4jAE7pqPlOlzUKbwA0,Mojave Tent,1999
97,Fantastic Plastic Machine,7MvrywVZhbvS6M5Zv9XUi3,Mojave Tent,1999
98,Banco de Gaia,5Z8mapYkacgBN46TkH9L3M,Mojave Tent,1999
99,BT,3Nrfpe0tUJi4K4DXYWgMUX,Mojave Tent,1999
100,BT,3Nrfpe0tUJi4K4DXYWgMUX,Sahara Tent,2002
101,Scratch Perverts,71hHL858askwXLzRWykTfV,Sahara Tent,1999
102,Mix Master Mike,4BeDVC50BVhB0bjQqjbhmt,Sahara Tent,1999
103,Mix Master Mike,4BeDVC50BVhB0bjQqjbhmt,Coachella Stage,2002
104,Qbert,5MxgS8Fg1h5k4ccyioVcT0,Sahara Tent,1999
105,A-Trak,3TaUSUXn41GixL7zbvrIDt,Sahara Tent,1999
106,A-Trak,3TaUSUXn41GixL7zbvrIDt,Sahara Tent,2011
107,4hero,1BlBZ9jQGOjmj6Zykgg43L,Sahara Tent,1999
108,DJ Cam,1hwAhXzyuEUjug2pyNVSvg,Sahara Tent,1999
109,Luke Vibert,0HfxCluo7N2dhr4oRM0wBv,Gobi Tent,1999
110,Autechre,6WH1V41LwGDGmlPUhSZLHO,Gobi Tent,1999
111,Bola,55ZGFvikpNjQHvtTWS5aZF,Gobi Tent,1999
112,Rob Hall,42SPXNOsQBxnOBIZwaneJH,Gobi Tent,1999
113,Jega,6ZYOrTXjWodrWyCuxGY5Yx,Gobi Tent,1999
114,Neotropic,0J7MEv1kdBkTE4HzW7FtoH,Gobi Tent,1999
115,Push Button Objects,0dgik75LbWPxn1g9rfZIX2,Gobi Tent,1999
116,Mira Calix,7yop5VpIW8Wv2l8ReGzbSq,Gobi Tent,1999
117,Andy Maddocks,1e2BbR4jKwI4Pm7A3RbAFm,Gobi Tent,1999
118,Paul Oakenfold,5MO2kbaGGA2a8kL4c9qqHq,Coachella Stage,2001
119,Paul Oakenfold,5MO2kbaGGA2a8kL4c9qqHq,Sahara Tent,2002
120,Paul Oakenfold,5MO2kbaGGA2a8kL4c9qqHq,Sahara Tent,2006
121,Paul Oakenfold,5MO2kbaGGA2a8kL4c9qqHq,Sahara Tent,2013
122,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Coachella Stage,2001
123,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Coachella Stage,2005
124,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Coachella Stage,2019
125,The Roots,78xUyw6FkVZrRAtziFdtdu,Coachella Stage,2001
126,The Roots,78xUyw6FkVZrRAtziFdtdu,Coachella Stage,2007
127,MC Supernatural,453XMRg98NIje3nHmxFXsH,Coachella Stage,2001
128,MC Supernatural,453XMRg98NIje3nHmxFXsH,Outdoor Theatre,2001
129,MC Supernatural,453XMRg98NIje3nHmxFXsH,Sahara Tent,2001
130,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Coachella Stage,2001
131,The Dandy Warhols,7siPLyFwRFYQkKgWKJ5Sod,Coachella Stage,2001
132,Souls of Mischief,5Rzqmz1zAszembFHGZQuAt,Coachella Stage,2001
133,Medusa,08Cmz2Whs8UYTPT4Th0c8w,Coachella Stage,2001
134,Medusa,08Cmz2Whs8UYTPT4Th0c8w,Gobi Tent,2003
135,Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,Outdoor Theatre,2001
136,Roni Size Reprazent,0QJsUBH0PcoT2fYI1F1Oee,Outdoor Theatre,2001
137,Roni Size Reprazent,0QJsUBH0PcoT2fYI1F1Oee,Outdoor Theatre,2009
138,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,Outdoor Theatre,2001
139,St. Germain,484sZUYmnRXN84zmk3GY1n,Outdoor Theatre,2001
140,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,Outdoor Theatre,2001
141,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,Outdoor Theatre,2002
142,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,Outdoor Theatre,2007
143,Ozomatli,1An0HCtDktvCBDdFEu7HC0,Outdoor Theatre,2001
144,Ozomatli,1An0HCtDktvCBDdFEu7HC0,Outdoor Theatre,2002
145,Ozomatli,1An0HCtDktvCBDdFEu7HC0,Mojave Tent,2007
146,Ozomatli,1An0HCtDktvCBDdFEu7HC0,Coachella Stage,2011
147,Nikka Costa,6vUjpCAR58MB3Jq2TsKUmK,Outdoor Theatre,2001
148,The New Deal,13Qw23XBRFmgTsU6hI8uVK,Outdoor Theatre,2001
149,Pedro the Lion,4ApdWjZjftqD77Vh6qDbCr,Outdoor Theatre,2001
150,The Orb,5HAtRoEPUvGSA7ziTGB1cF,Mojave Tent,2001
151,The Orb,5HAtRoEPUvGSA7ziTGB1cF,Gobi Tent,2009
152,Tricky,6hhA8TKRNryM8FNzqCqdDO,Mojave Tent,2001
153,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,Mojave Tent,2001
154,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,Coachella Stage,2006
155,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,Outdoor Theatre,2013
156,Squarepusher,4mtHSXwIHihO6MWNq5Qoko,Mojave Tent,2001
157,Squarepusher,4mtHSXwIHihO6MWNq5Qoko,Gobi Tent,2015
158,Plaid,5akVqMzdZOdbMYbE4vNZWD,Mojave Tent,2001
159,Del the Funky Homosapien,0YsLR3SQd5QTXAhGIGX7cl,Mojave Tent,2001
160,Aceyalone,7CaUk9xCxdXAmmqQn3PLR7,Mojave Tent,2001
161,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Insomniac Tent,2001
162,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Sahara Tent,2008
163,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Sahara Tent,2014
164,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Yuma Tent,2022
165,Doc Martin,2r341qO070AaoAowhAOQhp,Insomniac Tent,2001
166,Überzone,6HG2HjU2Q6ePNE39V71s7G,Insomniac Tent,2001
167,Ian Pooley,1m4GViPjIy4T8Pd0Iz6hRS,Insomniac Tent,2001
168,Adam Freeland,0enmKUTlccj9oxq06LWEIf,Insomniac Tent,2001
169,Adam Freeland,0enmKUTlccj9oxq06LWEIf,Sahara Tent,2004
170,Adam Freeland,0enmKUTlccj9oxq06LWEIf,Sahara Tent,2008
171,Jason Blakemore,06iccIeT6E02EBhf7NaDE6,Insomniac Tent,2001
172,Swedish Egil,1DMEHmubKOvDWaLbyt2OBP,Insomniac Tent,2001
173,Kruder & Dorfmeister,39ywlwtGw8RTGobakgb11L,Sahara Tent,2001
174,Jason Bentley,4b0s5L5HkUI6jrFwEDuTur,Sahara Tent,2001
175,Jason Bentley,4b0s5L5HkUI6jrFwEDuTur,Sahara Tent,2010
176,Jason Bentley,4b0s5L5HkUI6jrFwEDuTur,Yuma Tent,2013
177,Jason Bentley,4b0s5L5HkUI6jrFwEDuTur,Yuma Tent,2015
178,Jason Bentley,4b0s5L5HkUI6jrFwEDuTur,Yuma Tent,2018
