,name,id,stage,year,genres,followers,popularity
0,Beck,4obzFoKoKRHIphyHzJ35G3,Main Stage,1999,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']","{'href': None, 'total': 14417880}",75
1,Beck,4obzFoKoKRHIphyHzJ35G3,Gobi Tent,2004,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']","{'href': None, 'total': 14417880}",75
2,Beck,4obzFoKoKRHIphyHzJ35G3,Coachella Stage,2014,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']","{'href': None, 'total': 14417880}",75
3,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Main Stage,1999,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
4,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Insomniac Tent,2001,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
5,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Coachella Stage,2002,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
6,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Sahara Tent,2005,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
7,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Sahara Tent,2009,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
8,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Coachella Stage,2011,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
9,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,Outdoor Theatre,2023,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']","{'href': None, 'total': 2041904}",58
10,The Freemen,5BS4OVdQut6e0XNcLK23Be,Main Stage,1999,['irish rebel song'],"{'href': None, 'total': 796}",6
11,Morrissey,3iTsJGG39nMg9YiolUgLMQ,Main Stage,1999,"['madchester', 'new wave', 'permanent wave', 'solo wave']","{'href': None, 'total': 1101486}",55
12,Morrissey,3iTsJGG39nMg9YiolUgLMQ,Coachella Stage,2009,"['madchester', 'new wave', 'permanent wave', 'solo wave']","{'href': None, 'total': 1101486}",55
13,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Main Stage,1999,['alternative rock'],"{'href': None, 'total': 41904}",39
14,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Sahara Tent,2008,['alternative rock'],"{'href': None, 'total': 41904}",39
15,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,Sahara Tent,2009,['alternative rock'],"{'href': None, 'total': 41904}",39
16,Medeski Martin & Wood,2Hg4SUNDuIn8xIidz9GxFw,Main Stage,1999,"['instrumental funk', 'jam band', 'jazz organ', 'jazz trio', 'modern jazz trio']","{'href': None, 'total': 124147}",35
17,Bis,0yb46jwm7gqbZXVXZQ8Z1e,Main Stage,1999,['modern alternative rock'],"{'href': None, 'total': 872633}",58
18,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,Main Stage,1999,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']","{'href': None, 'total': 1835610}",59
19,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,Outdoor Theatre,2018,"['alternative metal', 'alternative rock', 'nu metal', 'rock', 'supergroup']","{'href': None, 'total': 1835610}",59
20,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Outdoor Theatre,1999,"['big beat', 'electronica']","{'href': None, 'total': 616223}",53
21,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Sahara Tent,2003,"['big beat', 'electronica']","{'href': None, 'total': 616223}",53
22,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Sahara Tent,2016,"['big beat', 'electronica']","{'href': None, 'total': 616223}",53
23,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Mojave Tent,2023,"['big beat', 'electronica']","{'href': None, 'total': 616223}",53
24,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Outdoor Theatre,1999,"['alternative rock', 'britpop', 'chamber pop', 'noise pop', 'shoegaze', 'spacegrunge']","{'href': None, 'total': 247778}",39
25,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Mojave Tent,2008,"['alternative rock', 'britpop', 'chamber pop', 'noise pop', 'shoegaze', 'spacegrunge']","{'href': None, 'total': 247778}",39
26,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Gobi Tent,2013,"['alternative rock', 'britpop', 'chamber pop', 'noise pop', 'shoegaze', 'spacegrunge']","{'href': None, 'total': 247778}",39
27,Spiritualized,6DKmuXxXASTF6xaJwcTfjv,Sonora Tent,2022,"['alternative rock', 'britpop', 'chamber pop', 'noise pop', 'shoegaze', 'spacegrunge']","{'href': None, 'total': 247778}",39
28,Life On Repeat,3i2HLU3icASkCVEVW7iyXP,Outdoor Theatre,1999,"['electronicore', 'post-post-hardcore', 'post-screamo']","{'href': None, 'total': 13339}",16
29,Art of Noise,77zrvBORXcnTyysjjKRfBU,Outdoor Theatre,1999,"['new romantic', 'synthpop']","{'href': None, 'total': 158773}",41
30,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Outdoor Theatre,1999,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'washington indie']","{'href': None, 'total': 1447120}",61
31,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,Coachella Stage,2013,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'washington indie']","{'href': None, 'total': 1447120}",61
32,Super Furry Animals,0FOcXqJgJ1oq9XfzYTDZmZ,Outdoor Theatre,1999,"['britpop', 'welsh indie', 'welsh rock']","{'href': None, 'total': 115971}",34
33,IQU,2jgrDwQt2J04QHpTu4uHwG,Outdoor Theatre,1999,"['cumbia amazonica', 'cumbia peruana']","{'href': None, 'total': 41614}",49
34,The Bicycle Thief,3AqcWmE3uv3PsDJUTpkHRx,Outdoor Theatre,1999,['acoustic rock'],"{'href': None, 'total': 2489}",8
35,At the Drive In,5E2rtn57BM2WPjwak4kGd5,Outdoor Theatre,1999,"['dance-punk', 'el paso indie', 'emo', 'post-hardcore']","{'href': None, 'total': 325273}",42
36,DJ Rap,6Zt25gNJMRGE2huRS9vHde,Mojave Tent,1999,[],"{'href': None, 'total': 29}",35
37,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Mojave Tent,1999,"['alternative hip hop', 'hip hop']","{'href': None, 'total': 439142}",49
38,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Outdoor Theatre,2002,"['alternative hip hop', 'hip hop']","{'href': None, 'total': 439142}",49
39,Jurassic 5,6wFId9Jhuf9AKVzWboOj2B,Outdoor Theatre,2013,"['alternative hip hop', 'hip hop']","{'href': None, 'total': 439142}",49
40,Cornelius,2GFB1Lc67mbqFXTPCM9XzT,Mojave Tent,1999,['classic soul'],"{'href': None, 'total': 23997}",39
41,Cornelius,2GFB1Lc67mbqFXTPCM9XzT,Gobi Tent,2007,['classic soul'],"{'href': None, 'total': 23997}",39
42,Simply Jeff,5Tug131UB4YlP9Qhe9jBif,Mojave Tent,1999,[],"{'href': None, 'total': 886}",1
43,The Wiseguys,7oBJEgh7PQKJuxXb1lUEKA,Mojave Tent,1999,"['big beat', 'trip hop']","{'href': None, 'total': 24338}",31
44,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Mojave Tent,1999,['trance'],"{'href': None, 'total': 9250}",23
45,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Insomniac Tent,2001,['trance'],"{'href': None, 'total': 9250}",23
46,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Sahara Tent,2003,['trance'],"{'href': None, 'total': 9250}",23
47,Christopher Lawrence,7FurwsWcdTy84HcxhnYoNQ,Sahara Tent,2009,['trance'],"{'href': None, 'total': 9250}",23
48,Bassbin Twins,2MXpehjTt01tarmYAwi42L,Sahara Tent,1999,['breakbeat'],"{'href': None, 'total': 4602}",6
49,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,1999,"['acid house', 'canadian electronic', 'detroit techno', 'microhouse', 'minimal techno', 'techno']","{'href': None, 'total': 262982}",35
50,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,2003,"['acid house', 'canadian electronic', 'detroit techno', 'microhouse', 'minimal techno', 'techno']","{'href': None, 'total': 262982}",35
51,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Sahara Tent,2007,"['acid house', 'canadian electronic', 'detroit techno', 'microhouse', 'minimal techno', 'techno']","{'href': None, 'total': 262982}",35
52,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Yuma Tent,2013,"['acid house', 'canadian electronic', 'detroit techno', 'microhouse', 'minimal techno', 'techno']","{'href': None, 'total': 262982}",35
