,name,artist_name,track_name,track_id,source
0,The Chemical Brothers,The Chemical Brothers,Swoon (Boyz Noize remix),35147897,"{'track_id': 35147897, 'track_name': 'Swoon (Boyz Noize remix)', 'track_name_translation_list': [], 'track_rating': 1, 'commontrack_id': 11741277, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 15585356, 'album_name': 'Superclub: Cream / Gatecrasher /Pacha', 'artist_id': 140, 'artist_name': 'The Chemical Brothers', 'track_share_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Swoon-Boyz-Noize-remix?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Swoon-Boyz-Noize-remix/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2014-09-28T04:56:34Z', 'primary_genres': {'music_genre_list': []}}"
1,The Chemical Brothers,The Chemical Brothers,Swoon (Boys Noize Instrumental),178403480,"{'track_id': 178403480, 'track_name': 'Swoon (Boys Noize Instrumental)', 'track_name_translation_list': [], 'track_rating': 19, 'commontrack_id': 10960877, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 33761873, 'album_name': 'Swoon - EP', 'artist_id': 140, 'artist_name': 'The Chemical Brothers', 'track_share_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Swoon-Boys-Noize-instrumental?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Swoon-Boys-Noize-instrumental/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2023-09-08T19:47:31Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]}}"
2,The Chemical Brothers,The Chemical Brothers,Another World / Do It Again / Get Yourself High (Live),43666506,"{'track_id': 43666506, 'track_name': 'Another World / Do It Again / Get Yourself High (Live)', 'track_name_translation_list': [{'track_name_translation': {'language': 'u0', 'translation': 'Another World / Do It Again / Get Yourself High - Live from Japan'}}], 'track_rating': 24, 'commontrack_id': 13728089, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 2, 'album_id': 16129953, 'album_name': ""Don't Think (Live from Japan)"", 'artist_id': 140, 'artist_name': 'The Chemical Brothers', 'track_share_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Another-World-Do-It-Again-Get-Yourself-High-Live?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/Another-World-Do-It-Again-Get-Yourself-High-Live/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2015-12-23T20:26:28Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 1048, 'music_genre_parent_id': 17, 'music_genre_name': 'House', 'music_genre_name_extended': 'Dance / House', 'music_genre_vanity': 'Dance-House'}}, {'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]}}"
3,The Chemical Brothers,The Chemical Brothers,A Modern Midnight Conversation,179156467,"{'track_id': 179156467, 'track_name': 'A Modern Midnight Conversation', 'track_name_translation_list': [{'track_name_translation': {'language': 'u0', 'translation': 'A Modern Midnight Conversation'}}, {'track_name_translation': {'language': 'JA', 'translation': 'ア・モダン・ミッドナイト・カンバセーション'}}], 'track_rating': 39, 'commontrack_id': 63645, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 1, 'album_id': 21198511, 'album_name': 'We Are The Night', 'artist_id': 140, 'artist_name': 'The Chemical Brothers', 'track_share_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/A-Modern-Midnight-Conversation?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/The-Chemical-Brothers/A-Modern-Midnight-Conversation/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2024-01-15T19:48:07Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]}}"
4,Morrissey,Morrissey,Dagenham Dave,976849,"{'track_id': 976849, 'track_name': 'Dagenham Dave', 'track_name_translation_list': [], 'track_rating': 39, 'commontrack_id': 409027, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 3, 'album_id': 13758720, 'album_name': 'Southpaw Grammar', 'artist_id': 1417, 'artist_name': 'Morrissey', 'track_share_url': 'https://www.musixmatch.com/lyrics/Morrissey/Dagenham-Dave?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Morrissey/Dagenham-Dave/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2013-06-01T22:52:35Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
5,Morrissey,Morrissey,Driving Your Girlfriend Home (2013 Remaster),63213649,"{'track_id': 63213649, 'track_name': 'Driving Your Girlfriend Home (2013 Remaster)', 'track_name_translation_list': [], 'track_rating': 39, 'commontrack_id': 32872819, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 18249326, 'album_name': 'Kill Uncle (Remastered)', 'artist_id': 1417, 'artist_name': 'Morrissey', 'track_share_url': 'https://www.musixmatch.com/lyrics/Morrissey/Driving-Your-Girlfriend-Home-2013-Remaster?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Morrissey/Driving-Your-Girlfriend-Home-2013-Remaster/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2014-03-12T07:40:34Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
6,Morrissey,Morrissey,November the Second,43508601,"{'track_id': 43508601, 'track_name': 'November the Second', 'track_name_translation_list': [], 'track_rating': 1, 'commontrack_id': 9088148, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 0, 'has_richsync': 0, 'num_favourite': 0, 'album_id': 16120746, 'album_name': 'Everyday Is Like Sunday', 'artist_id': 1417, 'artist_name': 'Morrissey', 'track_share_url': 'https://www.musixmatch.com/lyrics/Morrissey/November-the-Second?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Morrissey/November-the-Second/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2012-04-10T05:53:40Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 21, 'music_genre_parent_id': 34, 'music_genre_name': 'Rock', 'music_genre_name_extended': 'Rock', 'music_genre_vanity': 'Rock'}}]}}"
7,Morrissey,Morrissey,"Angel, Angel, Down We Go Together",558675,"{'track_id': 558675, 'track_name': 'Angel, Angel, Down We Go Together', 'track_name_translation_list': [], 'track_rating': 46, 'commontrack_id': 409001, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 2, 'album_id': 10266401, 'album_name': 'Viva Hate', 'artist_id': 1417, 'artist_name': 'Morrissey', 'track_share_url': 'https://www.musixmatch.com/lyrics/Morrissey/Angel-Angel-Down-We-Go-Together?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Morrissey/Angel-Angel-Down-We-Go-Together/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2013-06-01T22:52:30Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 21, 'music_genre_parent_id': 34, 'music_genre_name': 'Rock', 'music_genre_name_extended': 'Rock', 'music_genre_vanity': 'Rock'}}]}}"
8,Modest Mouse,Modest Mouse,Heart Cooks Brain,88252574,"{'track_id': 88252574, 'track_name': 'Heart Cooks Brain', 'track_name_translation_list': [], 'track_rating': 54, 'commontrack_id': 13057, 'instrumental': 0, 'explicit': 0, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 0, 'num_favourite': 3, 'album_id': 21144757, 'album_name': 'The Lonesome Crowded West', 'artist_id': 47, 'artist_name': 'Modest Mouse', 'track_share_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Heart-Cooks-Brain?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Heart-Cooks-Brain/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2022-05-18T11:34:54Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
9,Modest Mouse,Modest Mouse,Pups to Dust,78167658,"{'track_id': 78167658, 'track_name': 'Pups to Dust', 'track_name_translation_list': [{'track_name_translation': {'language': 'u0', 'translation': 'Pups to Dust'}}], 'track_rating': 39, 'commontrack_id': 43342286, 'instrumental': 0, 'explicit': 1, 'has_lyrics': 1, 'has_subtitles': 1, 'has_richsync': 1, 'num_favourite': 0, 'album_id': 20211540, 'album_name': 'Strangers to Ourselves', 'artist_id': 47, 'artist_name': 'Modest Mouse', 'track_share_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Pups-to-Dust?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'track_edit_url': 'https://www.musixmatch.com/lyrics/Modest-Mouse/Pups-to-Dust/edit?utm_source=application&utm_campaign=api&utm_medium=Technical+University+of+Denmark%3A1409624530551', 'restricted': 0, 'updated_time': '2024-02-07T08:08:46Z', 'primary_genres': {'music_genre_list': [{'music_genre': {'music_genre_id': 1004, 'music_genre_parent_id': 20, 'music_genre_name': 'Indie Rock', 'music_genre_name_extended': 'Alternative / Indie Rock', 'music_genre_vanity': 'Alternative-Indie-Rock'}}, {'music_genre': {'music_genre_id': 20, 'music_genre_parent_id': 34, 'music_genre_name': 'Alternative', 'music_genre_name_extended': 'Alternative', 'music_genre_vanity': 'Alternative'}}]}}"
